language,date,century,language_family,region,terminal_speaker,notes
Mohegan-Pequot,18 July 1908,20th,Algic > Algonquian,"southern New England, United States",NA,with the death of Fidelia Fielding[187]
Tasmanian,24 February 1905,20th,unclassified,"Tasmania, Australia",NA,with the death of Fanny Cochrane Smith[188][189][notes 7]
Arazaire,after 1906,20th,Panoan,"Cusco Province, Peru",NA,A word list was done in 1906.
Atsawaka,after 1904,20th,Panoan,"Puno Province, Peru",NA,There were 20 speakers in 1904.
Dyirringany,after 1902,20th,Pama–Nyungan,"New South Wales, Australia",NA,
Jangil,between 1900 and 1920,20th,Ongan,"Andaman Islands, India",NA,[190]
Henniker Sign Language,ca. 1900,20th,Village sign,"New Hampshire, United States",NA,
Tongva language,ca. 1900,20th,Uto-Aztecan,"Southern California, United States",NA,A revitalization process is happening.
Payagua language,ca. 1900,20th,Mataco–Guaicuru?,"Alto Paraguay, Paraguay",NA,
Moran,ca. 1900,20th,Sino-Tibetan,"Assam, India",NA,[191]
Wulguru,1900,20th,Pama-Nyungan,Australia,NA,
Classical Mandaic,by 1900,20th,Semitic,Iran; Iraq,NA,[192]
Piro Pueblo,by 1900,20th,Tanoan,"New Mexico, United States",NA,
Atakapa,early 20th century,20th,isolate,"Louisiana/Texas, United States",NA,
Kamakã,early 20th century,20th,Macro-Jê,"Bahia, Brazil",NA,
Jersey Dutch,early 20th century,20th,Dutch-based creole,"New Jersey, United States",NA,
Kazukuru,early 20th century,20th,Malayo-Polynesian,"New Georgia, Solomon Islands",NA,
Kyakhta Russian–Chinese Pidgin,early 20th century,20th,Chinese/Russian-based contact language,,NA,
Chaná,early 20th century,20th,Charruan,Uruguay,NA,
Marawán,early 20th century,20th,Arawakan,Brazil,NA,
"East Leinster dialect, Irish",early 20th century,20th,Celtic,Ireland,NA,[193]
Ingain,early 20th century,20th,Macro-Jê,"Santa Catarina, Brazil",NA,
Yuri,19th-20th century,19th,Ticuna-Yuri,Along the Caquetá River.,NA,
Adai,late 19th century,19th,isolate,"Louisiana, United States",NA,
Purí,late 19th century,19th,Macro-Jê,southeastern Brazil,NA,
Coroado Purí,late 19th century,19th,Macro-Jê,southeastern Brazil,NA,
Istrian Albanian,late 19th century,19th,Albanian,Croatia,NA,
Shebaya,late 19th century,19th,Arawakan,Trinidad,NA,
Mbara,later 19th century (?),19th,Pama-Nyungan,Australia,NA,[194]
Moriori,May 1900,19th,Malayo-Polynesian,"Chatham Island, New Zealand",NA,with the death of Hirawanu Tapu[195]
Nawathinehena,ca. 1899,19th,Algic > Algonquian,"Oklahoma and Wyoming, United States[196]",NA,
Ahom,by 1899,19th,Tai,India,NA,
Waling,by 1899,19th,Sino-Tibetan,Nepal,NA,[197]
Dalmatian,10 June 1898,19th,Romance,Croatia; Montenegro,NA,with the death of Tuone Udaina[198][199]
Tsetsaut,after 1894,19th,Na-Dene > Athabaskan,"British Columbia, Canada",NA,
Awabakal,after 1892,19th,Pama-Nyungan,"Queensland, Australia",NA,
Maritsauá,after 1886,19th,Tupian,"Mato Grosso, Brazil",NA,Word list was made in 1884 during the Shingú river expedition.
Solteco Zapotec,after 1886,19th,Oto-Manguean,"Oaxaca, Mexico",NA,
Comecrudo,after 1886,19th,Comecrudan,"Mexico; Texas, United States",NA,
Cotoname,after 1886,19th,isolate,"Mexico; Texas, United States",NA,
Yaquina,after 1884,19th,Penutian,"Oregon, United States",NA,
Kenaboi,after 1880,19th,unclassified (Language isolate?),"Negeri Sembilan, Malaysia",NA,
Auregnais,ca. 1880,19th,Romance,"Alderney, United Kingdom",NA,
Aruá,1877,19th,Arauan,Brazil,NA,
Duit,after 1871,19th,Chibcha,"Boyacá, Colombia",NA,One fragment analysed by scholar Ezequiel Uricoechea in 1871.
Bruny Island,8 May 1876,19th,Tasmanian,"Tasmania, Australia",NA,with the death of Truganini[notes 8]
Yola,mid-1870s,19th,Germanic,"Wexford, Ireland",NA,[201]
Tutelo,21 February 1871,19th,Siouan,"Virginia, United States",NA,with the death of Nikonha[202][notes 9]
Clatskanie,1870,19th,Na-Dene > Athabaskan,"Washington (state), United States",NA,
Andoquero,after 1867,19th,Witotoan,Colombia,NA,[203]
Xakriabá,1864,19th,Macro-Jê,"Minas Gerais state, Brazil",NA,
Caquetio,1862,19th,Arawakan,Aruba,NA,with the death of Nicolaas Pyclas[204]
Karankawa,1858,19th,unclassified,"Texas, United States",NA,concurrent with the extermination of the tribe at the hands of Juan Cortina
Woiwurrung,ca. 1857,19th,Pama-Nyungan,"Victoria, Australia",NA,
Nanticoke,26 December 1856,19th,Algic > Algonquian,"Delaware and Maryland, United States",NA,with the death of Lydia Clark[205]
Wampanoag,12 January 1855,19th,Algic > Algonquian,"Massachusetts, United States",NA,Nantucket Wampanoag disappeared with the death of Dorcas Honorable[206]
Samaritan,after 1853,19th,Semitic,"West Bank and the Gaza Strip, Palestinian territories",NA,[207]
Nicoleño,19 October 1853,19th,Uto-Aztecan,"California, United States",NA,with the death of Juana Maria[208]
Wainumá-Mariaté,after 1851,19th,Arawakan,"Amazonas, Colombia",NA,A word list was collected by Alfred Russel Wallace in 1851.
Hibito,after 1850,19th,Hibito–Cholon,Bobonaje River Valley,NA,There were 500 Speakers in 1850.
Norn,ca. 1850,19th,North Germanic,"Northern Isles, United Kingdom",NA,with the death of Walter Sutherland[209][210]
Shinnecock,mid-19th century,19th,Algic > Algonquian,"New York, United States",NA,
Betoi,mid-19th century,19th,Betoi-Saliban?,Orinoco Llanos,NA,
Kott,ca. 1850s,19th,Yeniseian,"central Siberia, Russia",NA,[136]
Bororo of Cabaçal,after or during 1840s,19th,Macro-Jê languages,"Mato Grosso, Brazil",NA,
Mator,ca. 1840s,19th,Uralic > Samoyedic,"Sayan Mountains, Russia",NA,
Gulidjan,after 1839,19th,Pama-Nyungan,"Victoria, Australia",NA,
Nottoway,1838,19th,Iroquoian,"Virginia, United States",NA,with the death of Edith Turner
Wathawurrung,after 1836,19th,Pama-Nyungan,"Victoria, Australia",NA,
Pali,after 1835,19th,Indo-Aryan,India; Myanmar,NA,[211]
Esselen,after 1833,19th,isolate (Hokan?),"California, United States",NA,
Cararí,after 1833,19th,Arawakan,"Mucuim River, Amazonas, Brazil",NA,A word list was collected by Johann Natterer in 1833.
Charrúa language,after 1832,19th,Charruan languages,Entre Ríos Province and Uruguay,NA,
Guenoa language,after 1832,19th,Charruan languages,Entre Ríos Province and Uruguay,NA,
Aroaqui,after 1832,19th,Arawakan,Lower Rio Negro Brazil,NA,A word list was collected by Johann Natterer in 1832.
Parawana,after 1832,19th,Arawakan,Lower Branco River Brazil,NA,A word list was collected by Johann Natterer in 1832.
Mepuri,after 1831,19th,Arawakan,"Amazonas, Brazil",NA,A word list was collected by Johann Natterer in 1831.
Mainatari,after 1831,19th,Arawakan,Siapa River (Orinoco basin) Venezuela,NA,A word list was collected by Johann Natterer in 1831.
Beothuk,6 June 1829,19th,Algic (disputed),"Newfoundland, Canada",NA,with the death of Shanawdithit[212]
Garza,after 1828,19th,Comecrudan,Mexico,NA,
Mamulique,after 1828,19th,Comecrudan,"Nuevo León, Mexico",NA,
Karkin,1821,19th,Penutian,"California, United States",NA,
Peerapper,after 1819,19th,Tasmanian,"Tasmania, Australia",NA,
Tambora,10 April 1815,19th,unclassified (Papuan),Sumbawa,NA,following the 1815 eruption of Mount Tambora[213]
Nuennone,after 1808,19th,Tasmanian,"Tasmania, Australia",NA,
Bunwurrung,ca. 1803,19th,Pama-Nyungan,"Victoria, Australia",NA,
Pallanganmiddang,ca. 1800,19th,Pama-Nyungan,"Victoria, Australia",NA,
Crimean Gothic,ca. 19th century,19th,Germanic,"Crimea, Ukraine",NA,
Assan,ca. 19th century,19th,Yeniseian,"central Siberia, Russia",NA,[136]
Sandy River Valley Sign Language,ca. 19th century,19th,Martha's Vineyard Sign Language or isolate,"Maine, United States",NA,
Mediterranean Lingua Franca,19th century,19th,Romance-based Pidgin,Tunisia; Greece; Cyprus,NA,[214]
Chorotega,19th century,19th,Oto-Manguean,Costa Rica; Nicaragua,NA,[215]
Matagalpa,19th century,19th,Misumalpan,Nicaragua,NA,
Ramaytush,19th century,19th,Penutian,"California, United States",NA,
Kemi Sami,19th century,19th,Uralic > Sami,"Lapland, Finland",NA,[216]
Jaikó,19th century,19th,Macro-Jê,southeastern Piauí,NA,
Mangue language,around the 19th century,19th,Oto-Manguean,Central America,NA,
Cochimí,early 19th century,19th,Yuman-Cochimi (Hokan?),"Baja California, Mexico",NA,
Yurats,early 19th century,19th,Samoyedic,"central Siberia, Russia",NA,
Wila',early 19th century,19th,Austroasiatic,"Seberang Perai, Malaysia",NA,
Pumpokol,early 19th century,19th,Yeniseian,"central Siberia, Russia",NA,[136]
Esuma,late 18th century,18th,Kwa,southern Côte d'Ivoire,NA,[217]
Maipure,late 18th century,18th,Arawakan,Upper Orinoco region,NA,
Chiriba,after the late 1790s,18th,Panoan,"Moxos Province, Bolivia",NA,All that was recorded of it was a list of seven words in the late 1790s.
Magiana,after 1794,18th,Arawakan,Bolivia,NA,"Magiana, an extinct Bolivia-Parana Arawakan language of Bolivia attested only with the wordlist in Palau, Mercedes and Blanca Saiz 1989 [1794]."
Eora,after 1791,18th,Pama-Nyungan,"Queensland and New South Wales, Australia",NA,[218]
Quiripi,after 1791,18th,Algic > Algonquian,"Connecticut/New York/New Jersey, United States",NA,[219]
Powhatan,ca. 1790s,18th,Algic > Algonquian,"eastern Virginia, United States",NA,
Ramanos,ca. 1790s,18th,Unclassified,"Moxos Province, Bolivia",NA,
Gundungurra,after 1788,18th,Pama-Nyungan,"New South Wales, Australia",NA,[220]
Otomaco,after 1788,18th,Otomakoan,Venezuelan Llanos,NA,Known from a wordlist by Father Gerónimo José de Luzena written in December of 1788.
Taparita,after 1788,18th,Otomakoan,Venezuelan Llanos,NA,Known from a wordlist by Father Gerónimo José de Luzena written in December of 1788.
Ngunnawal,after 1788,18th,Pama-Nyungan,"New South Wales, Australia",NA,[220]
Thurawal,after 1788,18th,Pama-Nyungan,"New South Wales, Australia",NA,[220]
Cornish,26 December 1777,18th,Celtic,"Cornwall, England",NA,with the death of Dolly Pentreath[221][notes 10]
Weyto,after 1770,18th,unclassified,Ethiopia,NA,
Tamanaku,after 1770,18th,Cariban languages,Venezuela,NA,
Cuman,1770,18th,Turkic,north of Black Sea; Hungary,NA,with the death of István Varró
Abipón,ca. 1770s,18th,Mataco–Guaicuru,Argentina,NA,
Susquehannock,after 1763,18th,Iroquoian,Northeastern United States,NA,After the Conestoga massacre.
"Galwegian dialect, Scottish Gaelic",1760,18th,Celtic,"Scotland, United Kingdom",NA,with the death of Margaret McMurray
Polabian,3 October 1756,18th,Slavic,"around the Elbe river, Poland/Germany",NA,with the death of Emerentz Schultze[222]
Arin,ca. 1730s,18th,Yeniseian,"central Siberia, Russia",NA,[136]
Plateau Sign Language,18th Century,18th,Contact pidgin,"Columbia Plateau, United States",NA,
Coahuilteco,18th century,18th,isolate/unclassified,"Mexico; Texas, United States",NA,
Loup language,18th century,18th,Algic > Algonquian,"Massachusetts and Connecticut, USA",NA,NA
Chibcha,18th century,18th,Chibchan,Colombia,NA,
Manao,18th century,18th,Arawakan,Brazil,NA,
Classical Gaelic,18th century,18th,Celtic,"Ireland and Scotland, United Kingdom",NA,The literary language. Fell out of use with the collapse of Gaelic society. [223]
Chané,ca. 18th century,18th,Arawakan,Argentina,NA,a dialect of Terêna
Apalachee,early 18th century,18th,Muskogean,"Florida, United States",NA,
Old Prussian,early 18th century,18th,Baltic,Poland,NA,
Omok,18th century or earlier,18th,Yukaghir,Omok was spoken in Sakha and Magadan in Russia.,NA,
Chuvan,18th century or earlier,18th,Yukaghir,Chuvan was spoken in Anadyr (river) basin of Chukotka in Russia.,NA,
Niuatoputapu,between 17th and 19th century,17th,Malayo-Polynesian,"Niuatoputapu Island, Tonga",NA,[224]
Cacán,late 17th to early 18th century,17th,unclassified,northern Argentina; Chile,NA,
Acaxee,Maybe 17th to 18th century,17th,Uto-Aztecan,Northwestern Mexico,NA,
Xixime,Maybe 17th to 18th century,17th,Uto-Aztecan,Northwestern Mexico,NA,
Pidgin Delaware,by 1700,17th,Delaware-based pidgin,"Delaware, United States",NA,[225]
Sudovian,late 17th century,17th,Baltic,Lithuania,NA,
Old Kentish Sign Language,after 1666,17th,Village sign language,"Kent, England",NA,[226]
Narragansett,after 1643,17th,Algic > Algonquian,"New England, United States",NA,[227]
Yaio,after 1640,17th,Cariban,Trinidad and French Guiana,NA,Attested in a 1640 word list recorded by Joannes de Laet.
Jurchen,ca. 1635,17th,Tungusic,"Manchuria, China",NA,[228]
Lumbee,after 1618,17th,Algic > Algonquian,"North Carolina and Maryland, United States",NA,[229]
Carolina Algonquian,after 1618,17th,Algic > Algonquian,"North Carolina, United States",NA,[229]
Etchemin,17th century,17th,Algic > Algonquian,"Maine, United States",NA,
Jassic,17th century,17th,Iranian,Hungary,NA,
Coptic,17th century,17th,Afro-Asiatic,Egypt,NA,still used as a liturgical language
Gorgotoqui,17th century,17th,Macro-Jê,eastern Bolivia,NA,
Curonian,17th century,17th,Baltic,Latvia,NA,
Cazcan,17th century ca.,17th,Uto-Aztecan,Mexico,NA,
Knaanic,late 16th century,16th,Slavic,Czech Republic; Poland,NA,
Laurentian,late 16th century,16th,Iroquoian,"Quebec/Ontario, Canada",NA,
Palta,after 1586,16th,unclassified,Ecuador,NA,
Taino,after 1548,16th,Arawakan,The Bahamas and Puerto Rico,NA,
Cueva,1535,16th,unclassified Chocoan?,"Darién Province, Panama",NA,The Cueva people were exterminated between 1510 and 1535 during Spanish colonization.
Tangut,after 1502,16th,Sino-Tibetan,northwestern China; southern Mongolia,NA,
Semigallian,16th century,16th,Baltic,Latvia; Lithuania,NA,
Guanahatabey,16th century,16th,Unclassified,"Pinar del Río Province and Isla de la Juventud, Cuba",NA,NA
Guanche,16th century,16th,"unclassified, maybe Berber","Canary Islands, Spain",NA,[230]
Judaeo-Portuguese,16th century,16th,Romance,"Belmonte, Portugal",NA,NA
Judaeo-Aragonese,After 1492,15th,Romance,North Central Spain,NA,After the Alhambra Decree
Judaeo-Catalan,After 1492,15th,Romance,Eastern Spain,NA,After the Alhambra Decree
Old Anatolian Turkish,15th century,15th,Turkic,Anatolia,NA,"Emerged in Anatolia late 11th century, and developed into early Ottoman Turkish."
Mozarabic,end of 15th century,15th,Romance,Spain; Portugal,NA,[231]
Greenlandic Norse,late 15th century,15th,Germanic,Greenland,NA,
Selonian,late 15th century,15th,Baltic,Latvia; Lithuania,NA,
Bulgar,14th century,14th,Turkic,"Volga and Danube, Europe; Central Asia",NA,"By the 9th or 10th centuries on the Danube and by the 14th century in the Volga region. It may have ultimately given rise to the Chuvash language, which is most closely related to it."
Old Uyghur,14th century,14th,Turkic,"Central Asia, East Asia|",NA,NA
Khorezmian,14th century,14th,Turkic,Central Asia,NA,
Galindian,14th century,14th,Baltic,northern Poland; Russia,NA,
Zarphatic,14th century,14th,Romance,northern France; west-central Germany,NA,
Karakhanid,13th century,13th,Turkic,Central Asia,NA,evolved into Chagatai
Khitan,20 June 1244,13th,Mongolic,Central Asia,NA,with the death of Yelü Chucai[232][notes 11]
Pyu,13th century,13th,Sino-Tibetan,central Myanmar,NA,
Pecheneg,12th century,11th and 12th,Turkic,Eastern Europe,NA,
Khwarezmian,12th century,11th and 12th,Iranian,Khwarazm,NA,
Cumbric,11th – 12th century,11th and 12th,Celtic,"England/Scotland, United Kingdom",NA,
Jewish Babylonian Aramaic,11th – 12th century,11th and 12th,Semitic,Iraq,NA,[233]
Khazar,between 1000 and 1300,11th and 12th,Turkic,northern Caucasus; Central Asia,NA,
Lombardic,ca. 1000,11th and 12th,Germanic,central Europe; northern Italy,NA,
Merya,ca. 1000,11th and 12th,Uralic,"Yaroslavl Oblast, Russia",NA,
Muromian,ca. 1000,11th and 12th,Uralic,"Vladimir Oblast, Russia",NA,
Old Church Slavonic,11th century,11th and 12th,Slavic,Eastern Europe,NA,still used as a liturgical language
Syriac,10th – 12th century,10th,Semitic,Turkey; Iraq; Syria,NA,still used as a literary secular language[234]
Samaritan Aramaic,10th – 12th century,10th,Semitic,"West Bank, Palestine; Israel",NA,now only used as liturgical language[235]
Sakan,10th century,10th,Iranian,"Xinjiang, China",NA,
Himyaritic,10th century,10th,Semitic,Yemen,NA,
Zhang-Zhung,10th century,10th,Sino-Tibetan,western Tibet (Central Asia),NA,
Pictish,9th century or later,9th,Celtic,"Scotland, United Kingdom",NA,
Tocharian,after 840,9th,Indo-European,Tarim Basin (Central Asia),NA,
Gothic,9th century,9th,Germanic,Spain; Portugal; Italy,NA,with the exception of Crimean Gothic
Orkhon Turkic,8th century,8th,Turkic,"Eastern Europe, Central Asia, Eastern Asia",NA,Replaced by Old Uyghur.
Avestan,ca. 600,7th,Iranian,Iran,NA,[236]
Gaya,7th century,7th,Unclassified,Korea,NA,
Buyeo,7th century,7th,Unclassified,Manchuria,NA,
Ancient Cappadocian,6th century,6th,Indo-European,Anatolia,NA,
Dacian,6th century,6th,Indo-European,Balkans,NA,
Illyrian,6th century,6th,Indo-European,western Balkans,NA,disputed
Sabaean,6th century,6th,Semitic,Horn of Africa; Arabic Peninsula,NA,
Vandalic,6th century,6th,Germanic,Spain; North Africa,NA,
Gaulish,6th century,6th,Celtic,"Gaul: France, Belgium, Germany and elsewhere",NA,
Ruanruan language,6th century,6th,Mongolic or isolate,Northern China and Mongolia,NA,spoken from the 4th to the 6th century AD
Phrygian,5th – 7th century,5th,Indo-European,southeastern Bulgaria; Anatolia,NA,
Hadramautic,5th – 6th century,5th,Semitic,Dhofar Mountains,NA,
Ligurian,before 6th century,5th,"unclassified, possibly Celtic or Indo-European",northwestern Italy; southeastern France,NA,[237]
Hunnic,after 453,5th,"unclassified, possibly Oghuric",from the Eurasian steppe into Europe,NA,
Meroitic,ca. 400,5th,"unclassified, maybe Nilo-Saharan",Sudan,NA,
Thracian,5th century,5th,Indo-European,eastern and central Balkans,NA,
Isaurian,5th century,5th,Anatolian,Anatolia,NA,
Punic,early 5th century,5th,Semitic,North Africa,NA,
Galatian,4th century CE,4th,Celtic,central Anatolia,NA,
Geʽez,4th century CE,4th,Semitic,Ethiopia; Eritrea,NA,still used as a liturgical language[238]
Biblical Hebrew,4th century CE,4th,Semitic,Israel,NA,revived in the 1880s
Parthian,after 300 CE,4th,Iranian,Iran,NA,
Raetic,3rd century CE,3rd,"unclassified, maybe Tyrsenian",eastern Alps,NA,NA
Qatabanian,ca. 200 CE,3rd,Afro-Asiatic,Yemen,NA,NA
Noric,after 2nd century CE,2nd,Celtic,Austria; Slovenia,NA,
Pisidian,after 2nd century CE,2nd,Anatolian,southwestern Anatolia,NA,
Bactrian,after 150,2nd,Iranian,Afghanistan,NA,
Akkadian,ca. 100 CE,2nd,Semitic,Mesopotamia,NA,[239]
Etruscan,100 CE,2nd,Tyrsenian,central Italy,NA,
Celtiberian,ca. 2nd century CE,2nd,Celtic,Spain,NA,
Lusitanian,2nd century CE,2nd,Indo-European,Portugal; Spain,NA,
Paeonian,1st – 2nd century CE,1st,Indo-European,Macedonia; Greece; Bulgaria,NA,NA
Iberian,1st – 2nd century CE,1st,unclassified,Spain; France,NA,NA
Liburnian,1st century CE,1st,Indo-European,western Croatia,NA,NA
Oscan,Approximately 100 CE,1st,Italic,southern Italy,NA,NA
Venetic,1st century CE,1st,Indo-European,northeastern Italy,NA,NA
Elymian,1st century BCE,1st BC,unclassified,western Sicily,NA,NA
Lycian,1st century BCE,1st BC,Anatolian,southwestern Anatolia,NA,NA
Lydian,1st century BCE,1st BC,Anatolian,western Anatolia,NA,NA
Messapian,1st century BCE,1st BC,Indo-European,"Apulia, Italy",NA,NA
Mysian,1st century BCE,1st BC,Anatolian,northwestern Anatolia,NA,NA
Sabine,1st century BCE,1st BC,Italic,central Italy,NA,NA
Sicanian,1st century BCE,1st BC,unclassified,central Sicily,NA,NA
Sicel,1st century BCE,1st BC,Indo-European,eastern Sicily,NA,NA
Umbrian,1st century BCE,1st BC,Italic,central Italy,NA,NA
Eteocretan,early 1st millennium BCE,1st BC,isolate/unclassified,"Crete, Greece",NA,NA
Milyan,1st millennium BCE,1st BC,Anatolian,Anatolia,NA,NA
Vestinian,100 BCE,2nd BC,Italic,east-central Italy,NA,NA
Faliscan,ca. 150 BCE,2nd BC,Italic,"Tuscany/Latium, Italy",NA,NA
Minaean,ca. 100 BCE,2nd BC,Afro-Asiatic,Yemen,NA,NA
Volscian,ca. 3rd century BCE,3rd BC,Italic,Italy; Latium,NA,NA
Aequian,ca. 3rd century BCE,3rd BC,Italic,"Latium, east-central Italy",NA,NA
Sidetic,ca. 3rd century BCE,3rd BC,Anatolian,southwestern Anatolia,NA,NA
Carian,3rd century BCE,3rd BC,Anatolian,southwestern Anatolia,NA,NA
Eteocypriot,early 4th century BCE,4th BC,isolate/unclassified,Cyprus,NA,NA
Ancient Macedonian,4th century BCE,4th BC,Indo-European,northeastern Greece,NA,NA
Philistine,ca. 300 BCE,4th BC,"unclassified, maybe Indo-European",Israel; Lebanon,NA,NA
Elamite,ca. 350 BCE,4th BC,isolate,Persia; southern Mesopotamia,NA,NA
Tartessian,after 5th century BCE,5th BC,unclassified,Spain,NA,NA
Ammonite,5th century BCE,5th BC,Semitic,northwestern Jordan,NA,NA
Moabite,5th century BCE,5th BC,Semitic,northwestern Jordan,NA,NA
Lepontic,ca. 400 BCE,5th BC,Celtic,northern Italy,NA,NA
Lemnian,after 6th century BCE,6th BC,Tyrsenian,"Lemnos, Greece",NA,[240]
Edomite,6th century BCE,6th BC,Semitic,southwestern Jordan,NA,
Urartian,7th century BCE,7th BC,Hurro-Urartian,Armenia; Georgia; Iraq; Anatolia,NA,NA
Luwian,ca. 600 BCE,7th BC,Anatolian,Anatolia; northern Syria,NA,NA
Sumerian,early 2nd millennium BCE,2nd mill. BC,isolate,Mesopotamia,NA,used as a literary and liturgical language until about 100 CE[241]
Eblaite,2nd millennium BCE,2nd mill. BC,Semitic,Syria,NA,
Hattic,ca. 1500 BCE,2nd mill. BC,isolate,Anatolia,NA,
Minoan,ca. 1450 BCE,2nd mill. BC,unclassified,Crete,NA,may have evolved into Eteocretan
Palaic,ca. 1300 BCE,2nd mill. BC,Anatolian,northwest Anatolia,NA,
Hurrian,ca. 1200 BCE,2nd mill. BC,Hurro-Urartian,Anatolia; Syria; Mesopotamia,NA,
Ugaritic,after 1170 BCE,2nd mill. BC,Semitic,Syria,NA,following the destruction of Ugarit
Hittite,ca. 1100 BCE,2nd mill. BC,Anatolian,Anatolia,NA,
Cypro-Minoan,ca. 1050 BCE,2nd mill. BC,unclassified,Cyprus,NA,may have evolved into Eteocypriot
Olmec language,UNK,Unknown,"Unclassified, possibly Mixe-Zoque",Mexico,NA,
Baekje language,UNK,Unknown,"Unclassified, possibly Koreanic",Korea,NA,may be more than one language.
Goguryeo language,UNK,Unknown,"Unclassified, possibly Koreanic","Korea, China",NA,
Villa Viciosa Agta,UNK,Unknown,Malayo-Polynesian,"Villaviciosa, Abra Philippines",NA,unattested
Tuoba,UNK,Unknown,Mongolic or Turkic,Northern China,NA,Spoken around the 5th century AD.
Tuyuhun,UNK,Unknown,Para-Mongolic,Northern China,NA,Spoken around 500 AD
Xiongnu,UNK,Unknown,unknown,Mongolia,NA,
Jie language,UNK,Unknown,Yeniseian,North China,NA,Possibly evolved into Pumpokol.
Ermiteño,UNK,Unknown,Chavacano,"Ermita, Manila, Philippines",NA,Spanish-based creole
Sutean,UNK,Unknown,Afro-Asiatic,Northeast Syria,NA,Spoken around 2100 BCE
Otuke,UNK,Unknown,Macro-Jê,"Mato Grosso, Santa Cruz",NA,
Menién,UNK,Unknown,Macro-Jê,"Bahia, Brazil",NA,
Acroá,UNK,Unknown,Macro-Jê,"Bahia, Brazil",NA,
Malalí,UNK,Unknown,Macro-Jê,"Minas Gerais, Brazil",NA,
Masakará,UNK,Unknown,Macro-Jê,"Bahia, Brazil",NA,
Kotoxó,UNK,Unknown,Macro-Jê,"Bahia, Brazil",NA,
Koropó,UNK,Unknown,Macro-Jê,"Minas Gerais, Brazil",NA,
Kamurú,UNK,Unknown,Macro-Jê,Eastern Brazil,NA,
Sabujá,UNK,Unknown,Macro-Jê,"Bahia, Brazil",NA,
Mangaló,UNK,Unknown,Macro-Jê,Bahia and Minas Gerais,NA,
Gueren,UNK,Unknown,Macro-Jê,"Minas Gerais, Brazil",NA,
Aravirá,UNK,Unknown,Macro-Jê,"Mato Grosso, Santa Cruz",NA,Nothing is known directly about this language.
Sorung,UNK,Unknown,Malayo-Polynesian,Erromango,NA,
Hermit,UNK,Unknown,Malayo-Polynesian,"Manus Province, Papua New Guinea",NA,It has been mostly replaced by Seimat.
Waamwang,UNK,Unknown,Malayo-Polynesian,"Voh, New Caledonia",NA,
Pawishiana,UNK,Unknown,Cariban,South America,NA,
Arakajú,UNK,Unknown,Cariban,South America,NA,
Tiverikoto,UNK,Unknown,Cariban,South America,NA,
Wajumará,UNK,Unknown,Cariban,South America,NA,
Boanarí,UNK,Unknown,Cariban,South America,NA,
Purukotó,UNK,Unknown,Cariban,South America,NA,
Paravilyana,UNK,Unknown,Cariban,South America,NA,
Sapará,UNK,Unknown,Cariban,South America,NA,
Juma,UNK,Unknown,Cariban,South America,NA,
Apingi,UNK,Unknown,Cariban,South America,NA,
Yarumá,UNK,Unknown,Cariban,South America,NA,
Opón,UNK,Unknown,Cariban,Colombia,NA,
Pimenteira,UNK,Unknown,Cariban,South America,NA,
Palmela,UNK,Unknown,Cariban,South America,NA,
Amarizana,UNK,Unknown,Arawakan,"Meta Department, Colombia",NA,
Cabre,UNK,Unknown,Arawakan,Colombia,NA,
Morique,UNK,Unknown,Arawakan,Between the Ucayali River and Javari River,NA,
Aroã,UNK,Unknown,Arawakan,Marajó,NA,
Pasé,UNK,Unknown,Arawakan,Brazil,NA,
Yumana,UNK,Unknown,Arawakan,Brazil,NA,
Wiriná,UNK,Unknown,Arawakan,Brazil,NA,
Waraikú,UNK,Unknown,Arawakan,Brazil,NA,
Shiriana,UNK,Unknown,Arawakan,Brazil,NA,
Western Jicaque,UNK,Unknown,Hokan,Honduras,NA,
Custenau,UNK,Unknown,Arawakan,"Mato Grosso, Brazil",NA,
Yabaâna,UNK,Unknown,Arawakan,Brazil,NA,
Kariaí,UNK,Unknown,Arawakan,"Roraima, Brazil",NA,
Anauyá,UNK,Unknown,Arawakan,"Castaño Viejo River Amazonas, Venezuela",NA,
Jandiatuba Mayoruna,UNK,Unknown,Panoan,"Amazon basin, Brazil",NA,
Amazon Mayoruna,UNK,Unknown,Panoan,"Amazon basin, Brazil, Peru, and Colombia",NA,
Kepkiriwát,UNK,Unknown,Tupian,"Rondônia, Brazil",NA,
Conambo,UNK,Unknown,Zaparoan,North Eastern Peru near the Conambo River.,NA,Some consider Conambo to be a dialect of Záparo.
Aushiri,UNK,Unknown,Zaparoan,"Loreto, Peru",NA,
Maynas,UNK,Unknown,Cahuapanan?,"Loreto, Peru",NA,
Huetar,UNK,Unknown,Chibchan,"Alajuela, Costa Rica",NA,
Dorasque,UNK,Unknown,Chibchan,Panama and Costa Rica,NA,
Voto,UNK,Unknown,Chibchan,Costa Rica,NA,
Atanque,UNK,Unknown,Chibchan,"Cesar Department, Colombia",NA,
Nutabe,UNK,Unknown,Chibchan,"Santa Fe de Antioquia, Colombia",NA,
Old Catio,UNK,Unknown,Chibchan,"Santa Fe de Antioquia, Colombia",NA,
Anserma,UNK,Unknown,Chocoan,"Antioquia Department, Colombia",NA,
Arma,UNK,Unknown,Chocoan?,Colombia,NA,Unattested
Sinúfana,UNK,Unknown,Chocoan?,Colombia,NA,Poorly attested
Quimbaya,UNK,Unknown,unclassified,Colombia,NA,Might not be a distinct language.
